"ID","Class","Severity","Ruleset(s)","Message","Guidance","Context (Xpath)","Test (Xpath)"
1.17.8,organisation,Warning,,The {$identifier} does not start with a known prefix.,,recipient-org/@ref,"not(some $prefix in $org-id-prefixes satisfies starts-with($item, $prefix||'-'))"
1.18.1,identifiers,Warning,,The {$identifier} should not start or end with spaces or newlines.,,iati-organisation/reporting-org/@ref,$item != functx:trim($item)
1.18.13,identifiers,Warning,,"The {$identifier} must not contain any of the symbols /, &, | or ?.",,iati-organisation/reporting-org/@ref,"matches($item, '[/&|?]')"
1.18.8,identifiers,Warning,,The {$identifier} does not start with a known prefix.,,iati-organisation/reporting-org/@ref,"not(some $prefix in $org-id-prefixes satisfies starts-with($item, $prefix||'-'))"
1.3.1,identifiers,Warning,,The {$identifier} should not start or end with spaces or newlines.,,iati-identifier,$item != functx:trim($item)
1.3.13,identifiers,Warning,,"The {$identifier} must not contain any of the symbols /, &, | or ?.",,iati-identifier,"matches($item, '[/&|?]')"
1.3.8,identifiers,Warning,,The {$identifier} does not start with a known prefix.,,iati-identifier,"not(some $prefix in $org-id-prefixes satisfies starts-with($item, $prefix||'-'))"
1.4.1,financial,Warning,,The {$identifier} should not start or end with spaces or newlines.,,@provider-activity-id,$item != functx:trim($item)
1.4.13,financial,Warning,,"The {$identifier} must not contain any of the symbols /, &, | or ?.",,@provider-activity-id,"matches($item, '[/&|?]')"
1.4.8,financial,Warning,,The {$identifier} does not start with a known prefix.,,@provider-activity-id,"not(some $prefix in $org-id-prefixes satisfies starts-with($item, $prefix||'-'))"
1.5.1,financial,Warning,,The {$identifier} should not start or end with spaces or newlines.,,@receiver-activity-id,$item != functx:trim($item)
1.5.13,financial,Warning,,"The {$identifier} must not contain any of the symbols /, &, | or ?.",,@receiver-activity-id,"matches($item, '[/&|?]')"
1.5.8,financial,Warning,,The {$identifier} does not start with a known prefix.,,@receiver-activity-id,"not(some $prefix in $org-id-prefixes satisfies starts-with($item, $prefix||'-'))"
1.6.1,identifiers,Warning,,The {$identifier} should not start or end with spaces or newlines.,,other-identifier[upper-case(@type)=('A3')]/@ref,$item != functx:trim($item)
1.6.13,identifiers,Warning,,"The {$identifier} must not contain any of the symbols /, &, | or ?.",,other-identifier[upper-case(@type)=('A3')]/@ref,"matches($item, '[/&|?]')"
1.6.8,identifiers,Warning,,The {$identifier} does not start with a known prefix.,,other-identifier[upper-case(@type)=('A3')]/@ref,"not(some $prefix in $org-id-prefixes satisfies starts-with($item, $prefix||'-'))"
1.7.1,relations,Warning,,The {$identifier} should not start or end with spaces or newlines.,,related-activity/@ref,$item != functx:trim($item)
1.7.13,relations,Warning,,"The {$identifier} must not contain any of the symbols /, &, | or ?.",,related-activity/@ref,"matches($item, '[/&|?]')"
1.7.2,identifiers,Error,iati,Organisation Identifier must be present.,{me:iati-url('activity-standard/iati-activities/iati-activity/reporting-org/')},reporting-org,not(@ref)
1.7.8,relations,Warning,,The {$identifier} does not start with a known prefix.,,related-activity/@ref,"not(some $prefix in $org-id-prefixes satisfies starts-with($item, $prefix||'-'))"
1.8.1,participating,Warning,,The {$identifier} should not start or end with spaces or newlines.,,participating-org/@ref,$item != functx:trim($item)
1.8.13,participating,Warning,,"The {$identifier} must not contain any of the symbols /, &, | or ?.",,participating-org/@ref,"matches($item, '[/&|?]')"
1.8.8,participating,Warning,,The {$identifier} does not start with a known prefix.,,participating-org/@ref,"not(some $prefix in $org-id-prefixes satisfies starts-with($item, $prefix||'-'))"
1.9.1,participating,Warning,,The {$identifier} should not start or end with spaces or newlines.,,@activity-id,$item != functx:trim($item)
1.9.13,participating,Warning,,"The {$identifier} must not contain any of the symbols /, &, | or ?.",,@activity-id,"matches($item, '[/&|?]')"
1.9.8,participating,Warning,,The {$identifier} does not start with a known prefix.,,@activity-id,"not(some $prefix in $org-id-prefixes satisfies starts-with($item, $prefix||'-'))"
102.1.1,information,Warning,iati,"When reporting sectors, it is recommended that if a publisher uses a non-DAC classification system or systems, these should be used in addition to DAC 5-digit codes.",https://drive.google.com/file/d/1GNnjeqDIyWwuuIkJ8pMjLhE99R_olSJP/view,(iati-activity|transaction)[sector],"not(sector[@vocabulary=('1','') or not(@vocabulary)])"
107.1.1,information,Warning,iati:2.03,The activity should also contain a code from the OECD DAC Aid Type vocabulary.,,iati-activity[default-aid-type],"not(default-aid-type/@vocabulary=('1','') or not(default-aid-type/@vocabulary))"
107.1.2,financial,Warning,iati:2.03,Each selected default-aid-type vocabulary should only be used once for each activity.,,iati-activity[default-aid-type],"count(default-aid-type[@vocabulary=('1','') or not(@vocabulary)]) > 1 or (some $v in (default-aid-type/@vocabulary[. != ('1', '')]) satisfies count(default-aid-type[@vocabulary=$v]) > 1)"
107.2.1,financial,Warning,iati:2.03,The transaction should also contain a code from the DAC Type of Aid vocabulary.,,transaction[aid-type],"not(aid-type/@vocabulary=('1','') or not(aid-type/@vocabulary))"
107.2.2,financial,Warning,iati:2.03,Each selected aid-type vocabulary should only be used once for each transaction.,,transaction[aid-type],"count(aid-type[@vocabulary=('1','') or not(@vocabulary)]) > 1 or (some $v in (aid-type/@vocabulary[. != ('1', '')]) satisfies count(aid-type[@vocabulary=$v]) > 1)"
11.1.1,information,Error,iati,The last-updated-datetime of the activity must not be in the future.,{me:iati-url('activity-standard/iati-activities/iati-activity/')},iati-activity,@last-updated-datetime and @last-updated-datetime castable as xs:dateTime and xs:dateTime(@last-updated-datetime) gt $now
